location,latitude,longitude,area,bhk,bathrooms,parking,property_age,furnishing,property_type,price,city,source_id
Sector 48 Gurgaon,28.4104903,77.0394627,1650.0,4,5.0,,2,Semifurnished,Apartment,115000000.0,Gurgaon,D71159300
Sector 112 Gurgaon,28.5203402,77.0188612,1650.0,3,4.0,,6,Semifurnished,Apartment,46500000.0,Gurgaon,T45736971
Sector 66 Gurgaon,28.3974292,77.0538823,1650.0,4,4.0,,1,Semifurnished,Apartment,52500000.0,Gurgaon,G71458958
Sector 71 Gurgaon,28.3950557,77.0314336,1650.0,4,4.0,,1,Semifurnished,Apartment,14700000.0,Gurgaon,D71338564
Sector 71 Gurgaon,28.3950557,77.0314336,1650.0,3,4.0,,1,Unknown,Apartment,12500000.0,Gurgaon,Z71338522
Sector 71 Gurgaon,28.3950557,77.0314336,1650.0,3,3.0,,1,Semifurnished,Apartment,11000000.0,Gurgaon,Q71338452
Sector 71 Gurgaon,28.3950557,77.0314336,1650.0,3,3.0,,1,Semifurnished,Apartment,10000000.0,Gurgaon,A71338346
Sector 71 Gurgaon,28.3950557,77.0314336,1650.0,2,2.0,,1,Semifurnished,Apartment,8500000.0,Gurgaon,M71338276
Sector 82A Gurgaon,28.3881583,76.96273,1340.0,4,4.0,,1,Semifurnished,Apartment,28500000.0,Gurgaon,B69550462
Sector 88A Gurgaon,28.4337898,76.9539433,645.0,3,2.0,,5,Semifurnished,Apartment,4900000.0,Gurgaon,K68627818
Sector 103 Gurgaon,28.493087,76.9866453,1233.0,3,3.0,,1,Semifurnished,Apartment,10483900.0,Gurgaon,W68612398
Sector 57 Gurgaon,28.4232478,77.0804487,2100.0,4,4.0,,1,Semifurnished,Independent/Builder Floor,23900000.0,Gurgaon,D69472918
Dlf Phase 4,28.4919048,77.0937804,3300.0,4,5.0,,1,Unfurnished,Independent/Builder Floor,63900000.0,Gurgaon,E67873150
Sector 48 Gurgaon,28.4104903,77.0394627,1900.0,3,3.0,,1,Semifurnished,Independent/Builder Floor,19000000.0,Gurgaon,D67862372
Sector 57 Gurgaon,28.4232478,77.0804487,1600.0,3,3.0,,1,Semifurnished,Independent/Builder Floor,19500000.0,Gurgaon,P69809100
Sushant Lok Phase 3,28.464228,77.076724,1200.0,3,3.0,,1,Semifurnished,Independent/Builder Floor,17500000.0,Gurgaon,Z68639642
Sushant Lok Phase 3,28.464228,77.076724,1200.0,3,3.0,,1,Semifurnished,Independent/Builder Floor,16700000.0,Gurgaon,K69570272
Sushant Lok Phase 3,28.464228,77.076724,2000.0,3,3.0,,1,Semifurnished,Independent/Builder Floor,25500000.0,Gurgaon,G69569950
Sector 57 Gurgaon,28.4232478,77.0804487,1750.0,4,4.0,,1,Semifurnished,Independent/Builder Floor,21400000.0,Gurgaon,X69529472
Sector 72 Gurgaon,28.3943815,77.032363,2500.0,4,4.0,,1,Semifurnished,Apartment,37000000.0,Gurgaon,U71726600
